RunID,Scan_Value_Added,Scan_Overhead,Scan_Gap
0,925.3655714183417,308.66896962961374,0.0
1,735.7878066617552,246.45243994962215,0.0
2,864.7709580785704,280.6769939225127,0.0
3,946.0047884676227,338.88301042248713,0.0
4,792.4887400394737,278.3973113800602,0.0
5,1162.9714099187293,360.00288113873154,0.0
6,937.0417430662518,316.0697736542105,0.0
7,1219.1507152071601,381.3249310422348,0.0
8,855.6646337435766,240.55751210413445,0.0
9,873.0836089645778,254.7664117046662,0.0
10,969.5360550852128,298.83990144801294,0.0
11,1176.356238009765,390.5380814693965,0.0
12,1064.7398121346093,340.05288531729934,0.0
13,694.230770787633,248.73002859143563,0.0
14,906.5949775326703,314.533107374438,0.0
15,772.4641498856753,274.4240470915408,0.0
16,1226.8192217406986,432.55668372651,0.0
17,1417.1179031342601,433.8501099925763,0.0
18,1200.0574649096,430.4442720632855,0.0
19,1164.4062208646892,371.4521229352973,0.0
20,773.0187730473426,265.92245589458867,0.0
21,863.6845527215532,290.88045427722193,0.0
22,1190.900459748907,393.7748921358422,0.0
23,773.0323979986634,216.95894769544768,0.0
24,1125.4226425005454,367.3071961095239,0.0
25,835.5838306524311,303.68117574586233,0.0
26,861.3726635044475,290.42080715188405,0.0
27,1076.6147017277012,318.4749164856682,0.0
28,1194.5943853972472,404.4428568224784,0.0
29,613.4287564251531,278.42568892847646,0.0
30,1027.524424081806,330.7057549022665,0.0
31,832.8597161602364,285.5255706678762,0.0
32,893.199576889548,327.820476790529,0.0
33,885.2945571172363,280.93551854807737,0.0
34,954.9789094004914,342.52359975539815,0.0
35,906.9748261419915,293.40281140510115,0.0
36,762.677267143922,251.20525410650217,0.0
37,920.731841168694,325.4860207625264,0.0
38,942.9761465342724,359.12219231473006,0.0
39,945.1689802837101,269.9686396729873,0.0
40,1277.2329176273429,404.38359683020633,0.0
41,981.4002229862905,355.15787428373824,0.0
42,823.4771641235966,253.83337846449524,0.0
43,992.8053061664476,352.26656988490004,0.0
44,693.2535103875495,255.3411924775522,0.0
45,1427.4653817977007,450.14632091200656,0.0
46,1013.8888590108133,354.382715092002,0.0
47,891.625904519393,282.48190367962235,0.0
48,884.7659578130969,258.15433275994405,0.0
49,930.1747585457338,316.7228515795938,0.0
