Magnet,Start,Duration,Type,RunID
3T,0.0,3.0132906654609473,flip,0
3T,3.013290665460943,2.0,handover,0
3T,5.013290665460943,4.057936115821779,setup,0
3T,9.071226781282718,21.441320425117798,scan,0
3T,30.512547206400512,2.4193170879747488,exit,0
3T,32.93186429437526,1.1480342512354809,flip,0
3T,34.079898545610746,2.0,handover,0
1.5T,36.75312240854335,2.801403693443692,exit,0
3T,36.079898545610746,4.978007786477225,setup,0
1.5T,39.55452610198704,2.4440009039030217,flip,0
1.5T,41.998527005890054,2.0,handover,0
1.5T,43.998527005890054,5.133403828181364,setup,0
3T,41.05790633208795,20.060380205901303,scan,0
3T,61.11828653798926,2.7478971284977165,exit,0
3T,63.866183666486975,1.4107207081699802,flip,0
3T,65.27690437465695,2.0,handover,0
1.5T,49.1319308340714,19.869305515859846,scan,0
1.5T,69.00123634993125,1.1723871136975208,exit,0
1.5T,70.17362346362876,1.6399656382686723,flip,0
3T,67.27690437465694,5.149032455564765,setup,0
1.5T,71.81358910189743,2.0,handover,0
1.5T,73.81358910189743,4.7089503700505,setup,0
3T,72.4259368302217,25.181854570404614,scan,0
3T,97.60779140062633,2.8389219842144704,exit,0
3T,100.44671338484079,0.8616019623453917,flip,0
3T,101.30831534718618,2.0,handover,0
1.5T,78.52253947194794,25.257543765640204,scan,0
1.5T,103.78008323758814,2.401124302358385,exit,0
1.5T,106.18120753994654,1.3085040349861663,flip,0
3T,103.30831534718618,5.194773316511364,setup,0
1.5T,114.85535978158214,2.0,handover,0
1.5T,116.85535978158214,3.397996295180687,setup,0
3T,108.50308866369755,22.759341430086664,scan,0
3T,131.26243009378422,2.1601680934580783,exit,0
3T,133.4225981872423,1.3984199440785994,flip,0
3T,134.8210181313209,2.0,handover,0
3T,136.8210181313209,4.9672038410804555,setup,0
1.5T,120.25335607676283,22.367039202190547,scan,0
1.5T,142.62039527895337,3.1421242817459025,exit,0
1.5T,145.76251956069927,1.2957149415056235,flip,0
1.5T,147.0582345022049,2.0,handover,0
1.5T,149.0582345022049,1.8777096363860595,setup,0
3T,141.78822197240135,23.8152692491848,scan,0
3T,165.60349122158615,2.827724904797546,exit,0
1.5T,150.93594413859097,18.81007600859482,scan,0
1.5T,169.7460201471858,1.4203438152625365,exit,0
3T,173.0,1.4117144093528466,flip,0
1.5T,174.41171440935284,1.5105254916757471,flip,0
3T,174.41171440935284,2.0,handover,0
3T,176.41171440935284,4.2383430092979815,setup,0
1.5T,183.4677280639535,2.0,handover,0
1.5T,185.4677280639535,4.765387374205911,setup,0
3T,180.65005741865085,56.32886389155093,scan,0
1.5T,190.23311543815942,47.77118393304187,scan,0
3T,236.97892131020177,3.0277628352022985,exit,0
1.5T,238.00429937120128,2.5104419841857952,exit,0
3T,240.00668414540405,1.6281596797003903,flip,0
1.5T,241.63484382510444,1.1596658562665474,flip,0
3T,241.63484382510444,2.0,handover,0
1.5T,242.79450968137098,2.0,handover,0
3T,243.63484382510444,3.15288679770054,setup,0
1.5T,244.79450968137098,4.997234747636372,setup,0
3T,246.787730622805,21.607643639938967,scan,0
3T,268.3953742627439,2.285367297819687,exit,0
3T,270.6807415605636,1.4198529675366354,flip,0
3T,272.10059452810026,2.0,handover,0
3T,274.10059452810026,5.200897435542492,setup,0
1.5T,249.79174442900734,47.34330190818132,scan,0
1.5T,297.13504633718867,2.014237199598595,exit,0
1.5T,299.14928353678727,1.0818373726157244,flip,0
1.5T,300.231120909403,2.0,handover,0
3T,279.3014919636428,27.255408748741264,scan,0
1.5T,302.231120909403,5.261246254064111,setup,0
3T,306.55690071238405,1.6465657656446226,exit,0
3T,308.20346647802864,1.5543576020349588,flip,0
3T,309.7578240800636,2.0,handover,0
3T,311.7578240800636,5.200325627971505,setup,0
1.5T,307.4923671634671,20.378845484700662,scan,0
1.5T,327.8712126481678,1.8802741363392772,exit,0
1.5T,353.0,1.217504463315174,flip,0
1.5T,354.21750446331515,2.0,handover,0
1.5T,356.21750446331515,3.6756090026698733,setup,0
3T,316.9581497080351,52.134707649702705,scan,0
3T,369.0928573577378,1.8731965151670833,exit,0
3T,370.96605387290487,1.02848510775631,flip,0
3T,371.99453898066116,2.0,handover,0
3T,373.99453898066116,4.005363780775502,setup,0
1.5T,359.89311346598504,55.47198109705135,scan,0
1.5T,415.3650945630364,2.949876214228063,exit,0
1.5T,418.3149707772645,1.173305079050059,flip,0
1.5T,419.48827585631454,2.0,handover,0
1.5T,421.48827585631454,4.039061514715219,setup,0
1.5T,425.5273373710298,23.70465253169517,scan,0
1.5T,449.23198990272493,1.961421767012955,exit,0
1.5T,451.1934116697379,0.7642358148778701,flip,0
3T,377.99990276143666,75.57799526220089,scan,0
1.5T,451.9576474846158,2.0,handover,0
3T,453.57789802363754,1.9323624102153882,exit,0
3T,455.510260433853,1.5653883035815521,flip,0
3T,457.07564873743456,2.0,handover,0
1.5T,453.9576474846158,5.149346772728986,setup,0
3T,459.07564873743456,3.967266615700597,setup,0
1.5T,459.1069942573448,23.1679060649504,scan,0
1.5T,482.27490032229525,2.36602909263867,exit,0
1.5T,484.6409294149339,1.0198126368915479,flip,0
1.5T,485.6607420518254,2.0,handover,0
3T,463.0429153531352,26.19025313808577,scan,0
3T,489.2331684912209,1.5169582640081076,exit,0
3T,490.75012675522896,1.0258290770833944,flip,0
1.5T,487.6607420518254,4.421871257032281,setup,0
3T,491.7759558323123,2.0,handover,0
3T,493.7759558323123,4.039918653904703,setup,0
1.5T,492.08261330885773,21.136965445151834,scan,0
1.5T,513.2195787540096,2.029730046740626,exit,0
3T,497.815874486217,22.721081727364197,scan,0
3T,520.5369562135812,2.8390792428607323,exit,0
1.5T,526.0,1.325344806020294,flip,0
3T,527.3253448060203,1.6314143277183537,flip,0
1.5T,527.3253448060203,2.0,handover,0
3T,528.9567591337387,2.0,handover,0
1.5T,529.3253448060203,4.939830026068723,setup,0
3T,530.9567591337387,5.001211872449162,setup,0
3T,535.9579710061879,25.125224575152615,scan,0
3T,561.0831955813405,2.5989149680708143,exit,0
3T,563.6821105494114,1.7420690245434225,flip,0
3T,565.4241795739548,2.0,handover,0
3T,567.4241795739548,4.78613372327309,setup,0
1.5T,534.2651748320891,51.987303063648326,scan,0
1.5T,586.2524778957375,1.6161880589254776,exit,0
1.5T,587.8686659546629,1.6218720203154218,flip,0
1.5T,589.4905379749783,2.0,handover,0
1.5T,591.4905379749783,3.918617374801599,setup,0
3T,572.2103132972279,45.77473546945435,scan,0
3T,617.9850487666822,1.5497365647344892,exit,0
3T,619.5347853314167,1.2987378121826643,flip,0
3T,620.8335231435995,2.0,handover,0
3T,622.8335231435995,4.772111461106126,setup,0
3T,627.6056346047055,26.612920736892576,scan,0
3T,654.2185553415981,1.465637122542466,exit,0
3T,655.6841924641406,0.84166967347389,flip,0
3T,656.5258621376145,2.0,handover,0
3T,658.5258621376145,3.0620270274484125,setup,0
1.5T,595.4091553497799,70.77468474944672,scan,0
1.5T,666.1838400992266,2.7304313557670845,exit,0
1.5T,668.9142714549937,1.4872867618094907,flip,0
1.5T,670.4015582168032,2.0,handover,0
1.5T,672.4015582168032,4.721293477488334,setup,0
1.5T,677.1228516942915,19.97668541913113,scan,0
1.5T,697.0995371134227,2.3269503184251943,exit,0
1.5T,699.4264874318479,0.9140465518020877,flip,0
1.5T,700.3405339836501,2.0,handover,0
1.5T,702.3405339836501,3.983202860059807,setup,0
3T,661.5878891650628,49.064151912823334,scan,0
3T,710.6520410778862,1.7668589561199588,exit,0
3T,712.4189000340061,1.5445319009145915,flip,0
3T,713.9634319349207,2.0,handover,0
3T,715.9634319349207,2.9831306770471944,setup,0
3T,718.9465626119678,25.23777787311284,scan,0
3T,744.1843404850806,1.5177937725497146,exit,0
3T,745.7021342576303,0.6727889094359889,flip,0
3T,746.3749231670663,2.0,handover,0
3T,748.3749231670663,4.4518503131168226,setup,0
3T,752.8267734801831,21.653830421437227,scan,0
1.5T,706.3237368437099,69.47248268336722,scan,0
3T,774.4806039016203,1.4561380064866163,exit,0
3T,775.9367419081069,1.6349263632653537,flip,0
1.5T,775.796219527077,2.1687402464877983,exit,0
3T,777.5716682713722,2.0,handover,0
1.5T,777.9649597735648,1.7443183588369786,flip,0
1.5T,779.7092781324018,2.0,handover,0
3T,779.5716682713722,3.3659685261047487,setup,0
1.5T,781.7092781324018,4.512388580707308,setup,0
3T,782.937636797477,22.08332736091141,scan,0
3T,805.0209641583884,1.3461791137228891,exit,0
3T,806.3671432721113,1.5156667247858253,flip,0
3T,807.8828099968971,2.0,handover,0
1.5T,786.2216667131091,24.150733391215642,scan,0
3T,809.8828099968971,2.110676965261163,setup,0
1.5T,810.3724001043248,3.175238155003368,exit,0
1.5T,813.5476382593282,1.0915015359793272,flip,0
1.5T,814.6391397953075,2.0,handover,0
1.5T,816.6391397953075,3.729998359034266,setup,0
3T,811.9934869621584,24.123687444476957,scan,0
3T,836.1171744066353,2.362868060867783,exit,0
3T,838.480042467503,1.077300265771936,flip,0
3T,839.5573427332749,2.0,handover,0
3T,841.5573427332749,3.886017731453284,setup,0
1.5T,820.3691381543417,28.162665087212588,scan,0
1.5T,848.5318032415544,1.4338394049831553,exit,0
1.5T,849.9656426465375,1.4014974328561394,flip,0
1.5T,851.3671400793936,2.0,handover,0
1.5T,853.3671400793936,4.867553824776557,setup,0
3T,845.4433604647282,28.45706942998178,scan,0
3T,873.90042989471,2.4938487870922508,exit,0
3T,876.3942786818022,0.7236805353430353,flip,0
1.5T,858.2346939041702,20.568257371685785,scan,0
1.5T,878.802951275856,2.6115643957381702,exit,0
1.5T,881.4145156715941,0.7843003440496807,flip,0
3T,886.9426168823958,2.0,handover,0
3T,888.9426168823958,5.0140283272222534,setup,0
3T,893.956645209618,23.45626645953338,scan,0
3T,917.4129116691514,3.3050506800254804,exit,0
3T,920.7179623491769,1.2905044229189069,flip,0
1.5T,942.6869124868837,2.0,handover,0
1.5T,944.6869124868837,3.536144829609131,setup,0
3T,946.7874175900287,2.0,handover,0
3T,948.7874175900287,3.4806306982887287,setup,0
1.5T,0.0,2.7371154286060166,flip,1
3T,2.7371154286060175,2.990990524243035,flip,1
1.5T,12.682667780263188,2.0,handover,1
1.5T,14.682667780263188,4.923211700532037,setup,1
1.5T,19.605879480795224,24.092397994550396,scan,1
1.5T,43.69827747534562,3.2033058532041743,exit,1
1.5T,46.90158332854979,0.886020080034063,flip,1
3T,113.27921882855406,2.0,handover,1
1.5T,116.06800427816967,2.0,handover,1
3T,115.27921882855406,3.5657508616347235,setup,1
1.5T,118.06800427816967,2.141250515527128,setup,1
3T,118.84496969018875,24.215288121931096,scan,1
1.5T,120.2092547936968,23.64383411906943,scan,1
3T,143.06025781211986,3.3252498860781476,exit,1
3T,146.385507698198,0.7470255103965557,flip,1
1.5T,143.85308891276622,3.3198000695238328,exit,1
1.5T,147.17288898229006,1.2952292597908386,flip,1
3T,147.13253320859457,2.0,handover,1
3T,149.13253320859457,3.3974519463980037,setup,1
3T,152.52998515499257,54.42721611612858,scan,1
3T,206.95720127112116,3.348678085042002,exit,1
3T,210.3058793561632,1.4391430046875233,flip,1
1.5T,233.22972670911446,2.0,handover,1
1.5T,235.22972670911446,2.9007227274170764,setup,1
3T,242.56747763312836,2.0,handover,1
3T,244.5674776331283,4.520327869448323,setup,1
3T,249.08780550257666,28.074236162287786,scan,1
3T,277.16204166486443,1.8465937149576535,exit,1
3T,279.00863537982207,1.5151826998492592,flip,1
3T,280.52381807967134,2.0,handover,1
3T,282.52381807967134,5.161059851716855,setup,1
1.5T,238.13044943653153,70.26468617539996,scan,1
3T,287.6848779313882,21.237656723022987,scan,1
1.5T,308.3951356119315,2.1017336287282435,exit,1
3T,308.9225346544112,1.9299866549144382,exit,1
1.5T,310.49686924065975,1.532170594276014,flip,1
3T,312.02903983493576,0.6991834448363464,flip,1
1.5T,312.02903983493576,2.0,handover,1
1.5T,314.02903983493576,2.600039724266651,setup,1
3T,330.24215472377927,2.0,handover,1
3T,332.24215472377927,3.6614825520759036,setup,1
1.5T,316.6290795592024,26.006415126219427,scan,1
1.5T,342.63549468542186,2.851505222704309,exit,1
1.5T,353.0,1.3155085505589033,flip,1
3T,335.90363727585515,26.969655854483282,scan,1
1.5T,363.0781077426422,2.0,handover,1
3T,362.8732931303384,3.2019264965977654,exit,1
1.5T,365.0781077426422,1.8151506952151442,setup,1
3T,366.0752196269362,1.3310135106326402,flip,1
3T,368.8278150438623,2.0,handover,1
3T,370.8278150438623,4.191585589210266,setup,1
1.5T,366.89325843785736,28.18334619138746,scan,1
1.5T,395.0766046292448,2.526177464851625,exit,1
3T,375.01940063307256,23.53935654785215,scan,1
1.5T,397.6027820940964,1.4041239891643151,flip,1
3T,398.5587571809247,2.3228023335328536,exit,1
1.5T,399.00690608326073,2.0,handover,1
3T,400.8815595144576,0.8944346385337779,flip,1
3T,401.77599415299136,2.0,handover,1
