No_Show_Rate,Throughput,Magnet_Idle_Pct
0.0,29,44.79166666666667
0.0,28,51.208333333333336
0.0,37,36.5
0.0,28,54.333333333333336
0.0,29,50.041666666666664
0.0,40,31.624999999999996
0.0,33,43.625
0.0,31,45.0
0.0,27,55.541666666666664
0.0,35,39.666666666666664
0.0,35,42.583333333333336
0.0,36,36.666666666666664
0.0,40,24.583333333333332
0.0,37,29.333333333333332
0.0,32,39.708333333333336
0.0,32,48.45833333333333
0.0,29,47.25
0.0,43,20.083333333333332
0.0,30,49.5
0.0,25,53.833333333333336
0.0,25,50.916666666666664
0.0,24,54.87499999999999
0.0,27,48.20833333333333
0.0,32,40.0
0.0,38,27.166666666666668
0.0,25,52.95833333333333
0.0,29,44.75
0.0,29,40.875
0.0,40,29.208333333333332
0.0,24,49.125
0.0,37,29.125
0.0,39,32.208333333333336
0.0,25,61.291666666666664
0.0,43,28.375
0.0,43,21.083333333333336
0.0,33,39.83333333333333
0.0,28,42.20833333333333
0.0,32,44.54166666666667
0.0,38,39.208333333333336
0.0,32,42.16666666666667
0.0,34,41.66666666666667
0.0,29,56.166666666666664
0.0,37,34.833333333333336
0.0,34,48.333333333333336
0.0,29,50.79166666666667
0.0,31,38.0
0.0,34,30.625000000000004
0.0,23,61.791666666666664
0.0,31,48.75
0.0,35,34.75
0.0,27,49.875
0.0,40,26.041666666666668
0.0,32,37.083333333333336
0.0,24,51.541666666666664
0.0,30,46.208333333333336
0.0,23,59.583333333333336
0.0,42,29.458333333333332
0.0,28,45.79166666666667
0.0,38,27.416666666666668
0.0,28,50.583333333333336
0.0,25,51.33333333333333
0.0,36,37.375
0.0,37,33.5
0.0,30,41.375
0.0,38,31.041666666666668
0.0,26,55.00000000000001
0.0,30,42.291666666666664
0.0,47,11.75
0.0,37,32.75
0.0,28,51.0
0.0,36,25.083333333333336
0.0,34,34.416666666666664
0.0,27,52.041666666666664
0.0,35,45.29166666666667
0.0,37,30.208333333333332
0.0,36,37.875
0.0,42,23.25
0.0,37,41.083333333333336
0.0,29,45.458333333333336
0.0,31,46.166666666666664
0.0,32,49.333333333333336
0.0,37,32.5
0.0,35,39.58333333333333
0.0,28,51.45833333333333
0.0,28,54.125
0.0,36,34.125
0.0,28,55.291666666666664
0.0,24,57.99999999999999
0.0,48,10.125
0.0,36,28.583333333333332
0.0,31,38.83333333333333
0.0,30,49.875
0.0,33,38.58333333333333
0.0,35,46.58333333333333
0.0,32,41.0
0.0,35,44.0
0.0,34,42.125
0.0,30,44.04166666666667
0.0,41,29.666666666666668
0.0,28,50.625
0.0,22,56.666666666666664
0.0,25,52.79166666666667
0.0,25,57.375
0.0,29,51.95833333333333
0.0,34,37.125
0.0,33,47.458333333333336
0.0,32,46.208333333333336
0.0,35,33.208333333333336
0.0,39,26.75
0.0,34,36.0
0.0,38,32.58333333333333
0.0,46,18.291666666666668
0.0,38,29.083333333333332
0.0,32,41.875
0.0,37,28.249999999999996
0.0,16,70.79166666666666
0.0,41,21.416666666666668
0.0,29,46.08333333333333
0.0,39,29.916666666666668
0.0,29,47.375
0.0,32,44.79166666666667
0.0,30,47.75
0.0,41,28.208333333333336
0.0,33,42.125
0.0,27,44.666666666666664
0.0,40,35.0
0.0,30,49.333333333333336
0.0,33,42.95833333333333
0.0,31,44.708333333333336
0.0,40,23.791666666666668
0.0,35,26.25
0.0,32,38.83333333333333
0.0,32,47.541666666666664
0.0,35,34.458333333333336
0.0,23,60.75000000000001
0.0,32,48.333333333333336
0.0,27,51.625
0.0,32,40.5
0.0,32,37.541666666666664
0.0,23,55.333333333333336
0.0,40,32.83333333333333
0.0,31,46.708333333333336
0.0,37,34.958333333333336
0.0,37,37.166666666666664
0.0,28,46.916666666666664
0.0,35,38.75
0.0,22,61.25000000000001
0.0,32,40.5
0.0,27,49.70833333333333
0.0,37,40.33333333333333
0.0,30,51.541666666666664
0.0,30,44.416666666666664
0.0,34,38.208333333333336
0.0,35,30.125
0.0,25,50.916666666666664
0.0,37,33.375
0.0,32,41.875
0.0,29,54.91666666666667
0.0,27,49.875
0.0,30,45.54166666666667
0.0,19,65.66666666666666
0.0,26,51.37500000000001
0.0,29,45.666666666666664
0.0,42,31.125000000000004
0.0,38,36.333333333333336
0.0,26,52.75
0.0,32,43.45833333333333
0.0,22,58.458333333333336
0.0,22,61.916666666666664
0.0,35,36.916666666666664
0.0,24,54.41666666666667
0.0,35,34.875
0.0,40,32.625
0.0,31,44.625
0.0,44,22.0
0.0,30,49.45833333333333
0.0,31,48.25
0.0,27,47.625
0.0,30,46.208333333333336
0.0,29,46.958333333333336
0.0,32,47.41666666666667
0.0,36,29.958333333333332
0.0,30,43.875
0.0,31,44.666666666666664
0.0,30,44.916666666666664
0.0,36,27.333333333333332
0.0,47,15.875
0.0,39,25.5
0.0,34,35.5
0.0,39,27.166666666666668
0.0,39,24.166666666666668
0.0,33,39.208333333333336
0.0,39,31.083333333333336
0.0,32,42.66666666666667
0.0,30,45.79166666666667
0.0,37,34.08333333333333
0.0,29,45.33333333333333
0.0,36,24.75
0.0,40,33.208333333333336
0.0,34,38.5
0.0,33,49.20833333333333
0.0,37,34.166666666666664
0.0,34,38.75
0.0,37,28.291666666666664
0.0,27,47.833333333333336
0.0,30,52.708333333333336
0.0,34,42.75
0.0,32,41.375
0.0,41,35.541666666666664
0.0,31,35.0
0.0,36,29.708333333333332
0.0,35,36.833333333333336
0.0,35,38.25
0.0,37,32.0
0.0,35,39.83333333333333
0.0,32,40.91666666666667
0.0,41,30.416666666666664
0.0,35,39.54166666666667
0.0,37,30.291666666666668
0.0,38,31.916666666666664
0.0,27,56.49999999999999
0.0,40,29.791666666666668
0.0,45,23.166666666666664
0.0,29,48.5
0.0,31,44.83333333333333
0.0,30,43.75
0.0,29,45.916666666666664
0.0,29,47.75
0.0,27,53.166666666666664
0.0,31,46.458333333333336
0.0,44,17.708333333333336
0.0,28,37.875
0.0,28,43.875
0.0,28,49.875
0.0,28,47.125
0.0,34,38.25
0.0,32,44.166666666666664
0.0,37,29.791666666666668
0.0,41,24.708333333333332
0.0,30,50.583333333333336
0.0,27,53.125
0.0,33,40.25
0.0,33,41.791666666666664
0.0,47,19.291666666666664
0.0,41,25.374999999999996
0.0,25,57.666666666666664
0.0,39,32.958333333333336
0.0,26,56.708333333333336
0.0,39,32.666666666666664
0.0,34,39.625
0.0,33,42.41666666666667
0.0,40,38.0
0.0,26,52.666666666666664
0.0,30,45.375
0.0,33,40.458333333333336
0.0,39,26.958333333333336
0.0,45,19.083333333333332
0.0,31,47.333333333333336
0.0,29,50.16666666666667
0.0,33,36.333333333333336
0.0,27,54.625
0.0,30,39.83333333333333
0.0,35,36.0
0.0,21,56.00000000000001
0.0,29,46.958333333333336
0.0,27,51.083333333333336
0.0,34,40.458333333333336
0.0,30,48.583333333333336
0.0,33,45.916666666666664
0.0,42,20.25
0.0,37,31.874999999999996
0.0,46,16.833333333333332
0.0,31,40.291666666666664
0.0,32,40.833333333333336
0.0,34,38.79166666666667
0.0,37,36.20833333333333
0.0,33,41.41666666666667
0.0,30,42.66666666666667
0.0,36,30.416666666666664
0.0,36,36.833333333333336
0.0,27,51.79166666666667
0.0,36,40.91666666666667
0.0,29,38.29166666666667
0.0,39,30.958333333333332
0.0,39,35.625
0.0,28,54.37499999999999
0.0,37,33.04166666666667
0.0,42,27.333333333333332
0.0,35,41.291666666666664
0.0,34,39.625
0.0,32,41.16666666666667
0.0,38,28.083333333333332
0.0,32,46.33333333333333
0.0,25,55.791666666666664
0.0,25,52.416666666666664
0.0,32,38.58333333333333
0.0,25,52.37500000000001
0.0,37,31.041666666666668
0.0,43,21.875
0.0,37,32.166666666666664
0.0,36,36.666666666666664
0.0,31,45.708333333333336
0.0,37,25.458333333333332
0.0,32,39.916666666666664
0.0,36,36.333333333333336
0.0,34,39.791666666666664
0.0,29,45.83333333333333
0.0,33,38.708333333333336
0.0,28,49.375
0.0,36,35.70833333333333
0.0,26,51.916666666666664
0.0,31,48.833333333333336
0.0,31,41.291666666666664
0.0,24,53.041666666666664
0.0,28,49.20833333333333
0.0,28,48.791666666666664
0.0,42,26.75
0.0,30,44.0
0.0,34,42.95833333333333
0.0,35,39.75
0.0,33,45.58333333333333
0.0,34,36.375
0.0,27,44.625
0.0,39,28.125
0.0,27,42.0
0.0,33,46.33333333333333
0.0,40,26.0
0.0,28,48.375
0.0,30,50.458333333333336
0.0,28,49.416666666666664
0.0,30,49.375
0.0,22,58.166666666666664
0.0,37,31.0
0.0,33,41.125
0.0,33,41.41666666666667
0.0,35,38.333333333333336
0.0,22,58.416666666666664
0.0,29,41.5
0.0,31,49.041666666666664
0.0,30,47.708333333333336
0.0,36,36.916666666666664
0.0,31,45.375
0.0,30,42.583333333333336
0.0,33,39.58333333333333
0.0,36,37.666666666666664
0.0,29,47.708333333333336
0.0,37,37.875
0.0,31,43.083333333333336
0.0,35,41.66666666666667
0.0,45,23.583333333333336
0.0,28,46.33333333333333
0.0,30,45.416666666666664
0.0,40,37.0
0.0,31,46.916666666666664
0.0,38,35.70833333333333
0.0,38,29.75
0.0,27,51.83333333333333
0.0,34,39.29166666666667
0.0,35,36.75
0.0,36,36.95833333333333
0.0,31,48.70833333333333
0.0,35,32.875
0.0,33,40.91666666666667
0.0,26,50.083333333333336
0.0,27,53.041666666666664
0.0,41,25.708333333333332
0.0,29,48.875
0.0,30,46.208333333333336
0.0,36,37.20833333333333
0.0,29,53.708333333333336
0.0,43,20.666666666666668
0.0,40,32.916666666666664
0.0,40,23.208333333333332
0.0,39,37.958333333333336
0.0,30,41.91666666666667
0.0,27,50.0
0.0,30,48.20833333333333
0.0,40,34.041666666666664
0.0,38,24.875
0.0,35,40.041666666666664
